Aparallactus guentheri	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	guentheri	BOULENGER	1895	Black Centipede Eater	No	No
Aparallactus jacksonii	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	jacksonii	GNTHER	1888	Jacksons centipede-eater	No	No
Aparallactus lineatus	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	lineatus	PETERS	1870	Lined Centipede-eater	No	No
Aparallactus lunulatus	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	lunulatus	PETERS	1854	Plumbeous or Reticulated Centipede Eater	No	No
Aparallactus modestus	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	modestus	GNTHER	1859	Western Forest Centipede-eater	No	No
Aparallactus moeruensis	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	moeruensis	DE WITTE & LAURENT	1943	Zaire Centipede-eater.	No	No
Aparallactus niger	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	niger	BOULENGER	1897		No	No
Aparallactus nigriceps	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	nigriceps	PETERS	1854	Mozambique Centipede Eater	No	No
Aparallactus turneri	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	turneri	LOVERIDGE	1935	Malindi Centipede-eater	No	No
Aparallactus werneri	Lamprophiidae, Aparallactinae, Serpentes (snakes)	Aparallactus	werneri	BOULENGER	1895	Usambara Centipede-eater	No	No
Aplopeltura boa	Pareatidae, Serpentes (snakes)	Aplopeltura	boa	BOIE	1828	Blunthead Slug Snake	No	No
Liasis papuana	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Liasis	papuana	PETERS & DORIA	1878	Papuan olive python	No	No
Apostolepis ambiniger	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	ambiniger	PETERS	1869		No	No
Apostolepis arenaria	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	arenaria	RODRIGUES	1993		No	No
Apostolepis assimilis	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	assimilis	REINHARDT	1861	Reinhardt's Burrowing Snake	No	No
Apostolepis cearensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	cearensis	GOMES	1915	Gomes' Burrowing Snake	No	No
Apostolepis dimidiata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	dimidiata	JAN	1862		No	No
Apostolepis dorbignyi	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	dorbignyi	SCHLEGEL	1837	Bolivian Burrowing Snal e	No	No
Apostolepis flavotorquata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	flavotorquata	DUMRIL, BIBRON  & DUMRIL	1854	Central Burrowing Snake	No	No
Apostolepis gaboi	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	gaboi	RODRIGUES	1993		No	No
Apostolepis goiasensis	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	goiasensis	PRADO	1942	Goias Burrowing Snake	No	No
Apostolepis intermedia	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	intermedia	KOSLOWSKY	1898	Mato Grosso Burrowing Snake	No	No
Apostolepis longicaudata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	longicaudata	GOMES	1921	Longhead Burrowing Snake	No	No
Apostolepis multicincta	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	multicincta	HARVEY	1999		No	No
Apostolepis niceforoi	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	niceforoi	AMARAL	1935	Amazon Burrowing Snake	No	No
Apostolepis nigroterminata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	nigroterminata	BOULENGER	1896	Peru Burrowing Snake	No	No
Apostolepis phillipsae	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	phillipsae	HARVEY	1999		No	No
Apostolepis polylepis	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	polylepis	AMARAL	1921		No	No
Apostolepis nigrolineata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	nigrolineata	PETERS	1869	Guyana Burrowing Snake	No	No
Apostolepis quirogai	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	quirogai	GIRAUDO & SCROCCHI	1998		No	No
Apostolepis tenuis	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	tenuis	RUTHVEN	1927	Ruthven's Burrowing Snake	No	No
Apostolepis vittata	Dipsadidae, Colubroidea, Serpentes (snakes)	Apostolepis	vittata	COPE	1887		No	No
Argyrogena fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Argyrogena	fasciolata	SHAW	1802	Banded Racer	No	No
Arizona elegans	Colubridae, Colubrinae, Lampropeltini, Colubroidea, Serpentes (snakes)	Arizona	elegans	KENNICOTT	1859	arenico	No	No
Arrhyton ainictum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	ainictum	SCHWARTZ & GARRIDO	1981	Cuban Island Racer	No	No
Hypsirhynchus callilaemus	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	callilaemus	GOSSE	1851	Jamaican Red Groundsnake	No	No
Arrhyton dolichura	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	dolichura	WERNER	1909	Habana Island Racer	No	No
Magliophis exiguum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Magliophis	exiguum	COPE	1863	Ground Snake Spani	No	No
Hypsirhynchus funereus	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	funereus	COPE	1862	Jamaican Black Groundsnake	No	No
Hypsirhynchus polylepis	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Hypsirhynchus	polylepis	BUDEN	1966	Jamaican Long-tailed Groundsnake	No	No
Arrhyton procerum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	procerum	HEDGES & GARRIDO	1992	Zapata Long-tailed Groundsnake	No	No
Arrhyton redimitum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	redimitum	COPE	1863		No	No
Arrhyton supernum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	supernum	HEDGES & GARRIDO	1992	Oriente Black Groundsnake	No	No
Arrhyton taeniatum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	taeniatum	GNTHER	1858	Gnther's Island Racer	No	No
Arrhyton tanyplectum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	tanyplectum	SCHWARTZ & GARRIDO	1981	San Vincente Island Racer	No	No
Arrhyton vittatum	Dipsadidae, Alsophiini, Colubroidea, Serpentes (snakes)	Arrhyton	vittatum	GUNDLACH	1861	Common Island Racer	No	No
Aspidelaps lubricus	Elapidae, Serpentes (snakes)	Aspidelaps	lubricus	LAURENTI	1768	cowle	Yes	No
Aspidelaps scutatus	Elapidae, Serpentes (snakes)	Aspidelaps	scutatus	SMITH	1849	scutat	Yes	No
Aspidites melanocephalus	Pythonidae, Henophidia, Pythonoidea, Serpentes (snakes)	Aspidites	melanocephalus	KREFFT	1864	Black-headed Python	No	No
